nm, %T
800.000000, 16.590924
798.000000, 16.287546
796.000000, 15.939308
794.000000, 15.494555
792.000000, 15.102185
790.000000, 14.946533
788.000000, 14.922046
786.000000, 14.978247
784.000000, 15.055618
782.000000, 15.025508
780.000000, 15.133706
778.000000, 15.291092
776.000000, 15.674366
774.000000, 16.009692
772.000000, 16.364548
770.000000, 16.827723
768.000000, 17.257700
766.000000, 17.964377
764.000000, 18.700300
762.000000, 19.313175
760.000000, 19.925811
758.000000, 20.677997
756.000000, 21.548233
754.000000, 22.250088
752.000000, 23.131071
750.000000, 23.789187
748.000000, 24.471198
746.000000, 25.095524
744.000000, 25.654764
742.000000, 26.073691
740.000000, 27.089329
738.000000, 27.403594
736.000000, 27.834197
734.000000, 28.167935
732.000000, 28.519589
730.000000, 28.939311
728.000000, 29.511115
726.000000, 29.521887
724.000000, 29.584855
722.000000, 29.568214
720.000000, 29.518993
718.000000, 29.397119
716.000000, 29.121194
714.000000, 28.686842
712.000000, 28.088899
710.000000, 27.101053
708.000000, 26.489497
706.000000, 25.789988
704.000000, 25.100578
702.000000, 23.989770
700.000000, 23.120614
698.000000, 22.064389
696.000000, 21.271475
694.000000, 19.947459
692.000000, 19.040256
690.000000, 17.657649
688.000000, 16.424395
686.000000, 14.909204
684.000000, 13.570391
682.000000, 12.384784
680.000000, 10.991004
678.000000, 9.689069
676.000000, 8.396952
674.000000, 7.343892
672.000000, 6.236886
670.000000, 5.164104
668.000000, 4.146438
666.000000, 3.211150
664.000000, 2.404089
662.000000, 1.694400
660.000000, 1.141446
658.000000, 0.717799
656.000000, 0.422254
654.000000, 0.274909
652.000000, 0.281810
650.000000, 0.442163
648.000000, 0.760254
646.000000, 1.235156
644.000000, 1.870201
642.000000, 2.665557
640.000000, 3.602310
638.000000, 4.711040
636.000000, 5.955592
634.000000, 7.236393
632.000000, 8.573164
630.000000, 9.984060
628.000000, 11.593510
626.000000, 13.320256
624.000000, 15.080821
622.000000, 16.720859
620.000000, 18.247032
618.000000, 19.600581
616.000000, 21.143183
614.000000, 22.755143
612.000000, 24.115215
610.000000, 25.198474
608.000000, 26.117337
606.000000, 26.756892
604.000000, 27.278819
602.000000, 27.779435
600.000000, 28.054554
598.000000, 27.651217
596.000000, 26.890034
594.000000, 26.007209
592.000000, 25.289409
590.000000, 24.256927
588.000000, 22.780886
586.000000, 20.930631
584.000000, 18.875492
582.000000, 16.927070
580.000000, 15.074703
578.000000, 13.082241
576.000000, 10.909312
574.000000, 8.800108
572.000000, 6.825861
570.000000, 5.090751
568.000000, 3.587972
566.000000, 2.292587
564.000000, 1.290743
562.000000, 0.628596
560.000000, 0.326055
558.000000, 0.414865
556.000000, 0.895566
554.000000, 1.776277
552.000000, 3.032570
550.000000, 4.611400
548.000000, 6.485537
546.000000, 8.580044
544.000000, 10.803449
542.000000, 13.220840
540.000000, 15.779018
538.000000, 18.147886
536.000000, 20.134716
534.000000, 21.869916
532.000000, 23.350183
530.000000, 24.326757
528.000000, 24.949739
526.000000, 25.142417
524.000000, 24.495558
522.000000, 23.096803
520.000000, 21.190967
518.000000, 18.854709
516.000000, 16.234369
514.000000, 13.533321
512.000000, 10.694377
510.000000, 7.905489
508.000000, 5.348072
506.000000, 3.148090
504.000000, 1.546963
502.000000, 0.662431
500.000000, 0.566049
498.000000, 1.328271
496.000000, 2.923066
494.000000, 5.232925
492.000000, 8.075970
490.000000, 11.226171
488.000000, 14.458353
486.000000, 17.506946
484.000000, 20.180537
482.000000, 22.105840
480.000000, 22.973425
478.000000, 22.613565
476.000000, 20.917193
474.000000, 18.198818
472.000000, 14.783833
470.000000, 10.991380
468.000000, 7.253008
466.000000, 4.006883
464.000000, 1.700904
462.000000, 0.740288
460.000000, 1.302249
458.000000, 3.351694
456.000000, 6.591610
454.000000, 10.484870
452.000000, 14.374268
450.000000, 17.597174
448.000000, 19.403261
446.000000, 19.344578
444.000000, 17.266626
442.000000, 13.534780
440.000000, 8.974857
438.000000, 4.683201
436.000000, 1.750877
434.000000, 0.985759
432.000000, 2.710612
430.000000, 6.376386
428.000000, 10.865395
426.000000, 14.639626
424.000000, 16.252592
422.000000, 14.870111
420.000000, 10.898809
418.000000, 5.942539
416.000000, 2.158062
414.000000, 1.353262
412.000000, 3.830333
410.000000, 7.932912
408.000000, 10.961045
406.000000, 10.786025
404.000000, 7.502654
402.000000, 3.323248
400.000000, 1.148396
398.000000, 2.000568
396.000000, 4.103716
394.000000, 4.683160
392.000000, 3.091201
390.000000, 1.130562
388.000000, 0.442680
386.000000, 0.684853
384.000000, 0.709979
382.000000, 0.347889
380.000000, 0.098037
378.000000, 0.060363
376.000000, 0.019589
374.000000, -0.018586
372.000000, -0.019926
370.000000, -0.013024
368.000000, -0.008349
366.000000, -0.004483
364.000000, -0.001733
362.000000, 0.000510
360.000000, 0.003165
358.000000, 0.004801
356.000000, 0.006745
354.000000, 0.007055
352.000000, 0.007366
350.000000, 0.008701
